Timestamp,Please enter your age:,Please Choose your gender:,Marital Status:,What is your profession?,What is your monthly income?,How would you describe your family?,What is the total number of members in your family?,"What is the approximate ""average"" age of your family?",The number of Adults in your family,The number of Children in your family,How would you describe your area of residence?,How many people earn for your family?,What is your family's monthly income?,Has any of your family members contracted COVID-19?,Have you lost any family member(s) due to COVID-19?,How would you describe the ease of access to the nearest medical support from your area of residence?,How would you describe the feeling of love in your family?,The lockdown period has allowed your family members to enjoy the time they spend together.,Your family is satisfied with how things are during lockdown.,Your family is thankful with what they have during the lockdown period.,Do you sense fear within the family?,Do you sense anxiety within the family?,How often do fights break out between family members?,Your family members understand and respect each others personal privacy.,What are your Family Reactions whenever a difficult situation arises?,What is the general reaction of the family when there is some form of good news?
8/9/2021 15:27:58,20,Female,Unmarried,Student,I do not have any income at the moment,Nuclear Family,4,23,3,1,Urban Area,1,"40,000 - 69,999 BDT",No,No,Close but Hard to Manage,It is the same as before the lockdown period,Agree,Neutral,Neutral,Not at all.,Not at all.,Problems are often resolved before fights break out.,Agree,All of us come together and work towards a solution and try to find some form of entertainment while doing so.,We all celebrate together and hope for an even better thing in the future.
8/9/2021 15:36:19,21,Female,Unmarried,Student,"Less than 10,000 BDT",Nuclear Family,3,38.5,3,0,Urban Area,1,"70,000 - 100,000 BDT",No,Yes,Far but Manageable,It is the same as before the lockdown period,Agree,Agree,Agree,I do feel it sometimes.,I do feel it sometimes.,There hasn't been any major issue that would cause a fight.,Strongly Agree,All of us come together and work towards a solution and try to find some form of entertainment while doing so.,We all celebrate together and hope for an even better thing in the future.
8/9/2021 15:37:20,21,Female,Unmarried,Student,I do not have any income at the moment,Nuclear Family,6,16,3,3,Urban Area,2,Decline to respond,Yes,No,Close but Hard to Manage,It is the same as before the lockdown period,Strongly Agree,Agree,Neutral,I haven't paid attention.,I do feel it sometimes.,I haven't paid attention.,Strongly Agree,All of us come together and work towards a solution and try to find some form of entertainment while doing so.,We all celebrate together and hope for an even better thing in the future.
8/9/2021 15:40:01,21,Female,Unmarried,Student,"Less than 10,000 BDT",Nuclear Family,3,40,3,0,Urban Area,1,"10,000 - 39,000 BDT",Yes,No,Close & Manageable.,It is the same as before the lockdown period,Neutral,Neutral,Agree,Not at all.,I don't feel like there is.,There hasn't been any major issue that would cause a fight.,Agree,All of us come together and work towards a solution and try to find some form of entertainment while doing so.,There is very little celebration on such occasions.
8/9/2021 15:42:05,20,Female,Unmarried,Student,I do not have any income at the moment,Nuclear Family,5,29,3,2,Urban Area,1,"10,000 - 39,000 BDT",No,No,Close but Hard to Manage,It has increased a lot during the lockdown period,Neutral,Neutral,Disagree,I do feel it sometimes.,I do feel it sometimes.,There hasn't been any major issue that would cause a fight.,Agree,All of us come together and work towards a solution and try to find some form of entertainment while doing so.,We all celebrate together and hope for an even better thing in the future.
8/9/2021 15:42:09,21,Female,Unmarried,Student,I do not have any income at the moment,Nuclear Family,6,40,4,2,Urban Area,1,"More than 100,000 BDT",No,No,Close & Manageable.,It has increased a lot during the lockdown period,Strongly Agree,Strongly Agree,Strongly Agree,Not at all.,Not at all.,Problems are often resolved before fights break out.,Strongly Agree,All of us come together and work towards a solution and try to find some form of entertainment while doing so.,We all celebrate together and hope for an even better thing in the future.
8/9/2021 15:44:28,24,Male,Unmarried,Student,"Less than 10,000 BDT",Extended Family,6,30,6,0,Urban Area,5,"More than 100,000 BDT",Yes,No,Close but Hard to Manage,It has increased a lot during the lockdown period,Strongly Agree,Agree,Neutral,I do feel it sometimes.,Not at all.,There hasn't been any major issue that would cause a fight.,Agree,All of us come together and work towards a solution and try to find some form of entertainment while doing so.,We all celebrate together and hope for an even better thing in the future.
8/9/2021 15:44:51,21,Male,Unmarried,Student,I do not have any income at the moment,Nuclear Family,5,26,2,1,Rural Area,20000,"10,000 - 39,000 BDT",No,No,Close & Manageable.,It has slightly decreased during the lockdown period,Disagree,Neutral,Neutral,I do feel it most of the time.,I do feel it sometimes.,There are fights sometimes.,Agree,Usually leave it to the elders of the family to deal with it.,There is almost no reaction at all.
8/9/2021 15:46:43,69,Female,Widowed,Student,"More than 100,000 BDT",Nuclear Family,12,59,11,1,Suburban Area,12,"Less than 10,000 BDT",No,Yes,Close but Hard to Manage,It has decreased a lot during the lockdown period,Strongly Disagree,Strongly Agree,Strongly Disagree,Not at all.,I do feel it most of the time.,Problems are often resolved before fights break out.,Strongly Disagree,Things are always out of control. No one is responsible at times like these.,There is almost no reaction at all.
8/9/2021 15:47:14,21,Female,Unmarried,Student,I do not have any income at the moment,Nuclear Family,6,24.5,4,2,Urban Area,1,"10,000 - 39,000 BDT",No,No,Close & Manageable.,It has increased a lot during the lockdown period,Strongly Agree,Disagree,Agree,Not at all.,Not at all.,There hasn't been any major issue that would cause a fight.,Strongly Agree,All of us come together and work towards a solution and try to find some form of entertainment while doing so.,We all celebrate together and hope for an even better thing in the future.
